plate_number,row,column,absorbance,chl_source,sample_ID,replicate,absorbance_reading
5,F,12,632,sample,SSID423_3,3,0.092
5,G,10,632,sample,SSID517_2,1,0.087
5,G,11,632,sample,SSID517_2,2,0.084
5,G,12,632,sample,SSID517_2,3,0.086
5,H,10,632,sample,SSID518_3,1,0.089
5,H,11,632,sample,SSID518_3,2,0.086
5,H,12,632,sample,SSID518_3,3,0.086
5,A,1,665,standard,water,1,0.073
5,A,2,665,standard,water,2,0.072
5,A,3,665,standard,water,3,0.072
5,B,1,665,standard,water,4,0.072
5,B,2,665,standard,water,5,0.074
5,B,3,665,standard,water,6,0.077
5,C,1,665,standard,methanol,1,0.076
5,C,2,665,standard,methanol,2,0.077
5,C,3,665,standard,methanol,3,0.073
5,D,1,665,standard,methanol,4,0.074
5,D,2,665,standard,methanol,5,0.073
5,D,3,665,standard,methanol,6,0.073
5,E,1,665,standard,methanol,7,0.074
5,E,2,665,standard,methanol,8,0.073
5,E,3,665,standard,methanol,9,0.074
5,F,1,665,standard,methanol,10,0.074
5,F,2,665,standard,methanol,11,0.075
5,F,3,665,standard,methanol,12,0.074
5,G,1,665,standard,standard,1,0.323
5,G,2,665,standard,standard,2,0.336
5,G,3,665,standard,standard,3,0.331
5,H,1,665,standard,standard,4,0.343
5,H,2,665,standard,standard,5,0.333
5,H,3,665,standard,standard,6,0.334
5,A,4,665,sample,PSTR110_2,1,0.092
5,A,5,665,sample,PSTR110_2,2,0.093
5,A,6,665,sample,PSTR110_2,3,0.101
5,B,4,665,sample,PSTR117_2,1,0.091
5,B,5,665,sample,PSTR117_2,2,0.087
5,B,6,665,sample,PSTR117_2,3,0.09
5,C,4,665,sample,PSTR14_3,1,0.075
5,C,5,665,sample,PSTR14_3,2,0.076
5,C,6,665,sample,PSTR14_3,3,0.075
5,D,4,665,sample,PSTR318_3,1,0.079
5,D,5,665,sample,PSTR318_3,2,0.077
5,D,6,665,sample,PSTR318_3,3,0.077
5,E,4,665,sample,PSTR34_2,1,0.081
5,E,5,665,sample,PSTR34_2,2,0.078
5,E,6,665,sample,PSTR34_2,3,0.075
5,F,4,665,sample,PSTR43_2,1,0.08
5,F,5,665,sample,PSTR43_2,2,0.081
5,F,6,665,sample,PSTR43_2,3,0.078
5,G,4,665,sample,PSTR510_2,1,0.105
5,G,5,665,sample,PSTR510_2,2,0.101
5,G,6,665,sample,PSTR510_2,3,0.103
5,H,4,665,sample,PSTR519_2,1,0.081
5,H,5,665,sample,PSTR519_2,2,0.083
5,H,6,665,sample,PSTR519_2,3,0.083
5,A,7,665,sample,PSTR55_2,1,0.076
5,A,8,665,sample,PSTR55_2,2,0.074
5,A,9,665,sample,PSTR55_2,3,0.076
5,B,7,665,sample,PSTR57_3,1,0.095
5,B,8,665,sample,PSTR57_3,2,0.095
5,B,9,665,sample,PSTR57_3,3,0.098
5,C,7,665,sample,PSTR625_2,1,0.079
5,C,8,665,sample,PSTR625_2,2,0.081
5,C,9,665,sample,PSTR625_2,3,0.079
5,D,7,665,sample,PSTR64_2,1,0.085
5,D,8,665,sample,PSTR64_2,2,0.085
5,D,9,665,sample,PSTR64_2,3,0.086
5,E,7,665,sample,PSTR68_3,1,0.093
5,E,8,665,sample,PSTR68_3,2,0.09
5,E,9,665,sample,PSTR68_3,3,0.088
5,F,7,665,sample,PSTRF30_2,1,0.109
5,F,8,665,sample,PSTRF30_2,2,0.113
5,F,9,665,sample,PSTRF30_2,3,0.122
5,G,7,665,sample,PSTRF46_2,1,0.078
5,G,8,665,sample,PSTRF46_2,2,0.078
5,G,9,665,sample,PSTRF46_2,3,0.086
5,H,7,665,sample,PSTRS14_3,1,0.083
5,H,8,665,sample,PSTRS14_3,2,0.082
5,H,9,665,sample,PSTRS14_3,3,0.084
5,A,10,665,sample,SSID118_3,1,0.08
5,A,11,665,sample,SSID118_3,2,0.079
5,A,12,665,sample,SSID118_3,3,0.078
5,B,10,665,sample,SSID123_2,1,0.091
5,B,11,665,sample,SSID123_2,2,0.092
5,B,12,665,sample,SSID123_2,3,0.091
5,C,10,665,sample,SSID15_3,1,0.075
5,C,11,665,sample,SSID15_3,2,0.076
5,C,12,665,sample,SSID15_3,3,0.077
5,D,10,665,sample,SSID418_2,1,0.091
5,D,11,665,sample,SSID418_2,2,0.095
5,D,12,665,sample,SSID418_2,3,0.09
5,E,10,665,sample,SSID42_3,1,0.075
5,E,11,665,sample,SSID42_3,2,0.083
5,E,12,665,sample,SSID42_3,3,0.082
5,F,10,665,sample,SSID423_3,1,0.086
5,F,11,665,sample,SSID423_3,2,0.09
5,F,12,665,sample,SSID423_3,3,0.088
5,G,10,665,sample,SSID517_2,1,0.085
5,G,11,665,sample,SSID517_2,2,0.081
5,G,12,665,sample,SSID517_2,3,0.084
5,H,10,665,sample,SSID518_3,1,0.086
5,H,11,665,sample,SSID518_3,2,0.083
5,H,12,665,sample,SSID518_3,3,0.083
6,A,1,632,standard,water,1,0.072
6,A,2,632,standard,water,2,0.073
6,A,3,632,standard,water,3,0.076
6,B,1,632,standard,water,4,0.153
6,B,2,632,standard,water,5,0.077
6,B,3,632,standard,water,6,0.073
6,C,1,632,standard,methanol,1,0.077
6,C,2,632,standard,methanol,2,0.075
6,C,3,632,standard,methanol,3,0.077
6,D,1,632,standard,methanol,4,0.154
6,D,2,632,standard,methanol,5,0.075
6,D,3,632,standard,methanol,6,0.076
6,E,1,632,standard,methanol,7,0.077
6,E,2,632,standard,methanol,8,0.076
6,E,3,632,standard,methanol,9,0.08
6,F,1,632,standard,methanol,10,0.078
6,F,2,632,standard,methanol,11,0.074
6,F,3,632,standard,methanol,12,0.076
6,G,1,632,standard,standard,1,0.164
6,G,2,632,standard,standard,2,0.17
6,G,3,632,standard,standard,3,0.174
6,H,1,632,standard,standard,4,0.171
6,H,2,632,standard,standard,5,0.17
6,H,3,632,standard,standard,6,0.128
6,A,4,632,sample,SSID524_3,1,0.09
6,A,5,632,sample,SSID524_3,2,0.08
6,A,6,632,sample,SSID524_3,3,0.078
6,B,4,632,sample,SSID54_3,1,0.087
6,B,5,632,sample,SSID54_3,2,0.092
6,B,6,632,sample,SSID54_3,3,0.089
6,C,4,632,sample,SSID615_2,1,0.089
6,C,5,632,sample,SSID615_2,2,0.092
6,C,6,632,sample,SSID615_2,3,0.09
6,D,4,632,sample,SSID617_3,1,0.105
6,D,5,632,sample,SSID617_3,2,0.104
6,D,6,632,sample,SSID617_3,3,0.103
6,E,4,632,sample,SSID624_3,1,0.109
6,E,5,632,sample,SSID624_3,2,0.111
6,E,6,632,sample,SSID624_3,3,0.11
6,F,4,632,sample,SSIDF3_3,1,0.082
6,F,5,632,sample,SSIDF3_3,2,0.081
6,F,6,632,sample,SSIDF3_3,3,0.083
6,G,4,632,sample,SSIDF18_2,1,0.082
6,G,5,632,sample,SSIDF18_2,2,0.081
6,G,6,632,sample,SSIDF18_2,3,0.084
6,H,4,632,sample,SSIDF20_2,1,0.095
6,H,5,632,sample,SSIDF20_2,2,0.096
6,H,6,632,sample,SSIDF20_2,3,0.096
6,A,7,632,sample,SSIDS5_2,1,0.107
6,A,8,632,sample,SSIDS5_2,2,0.111
6,A,9,632,sample,SSIDS5_2,3,0.112
6,B,7,632,sample,SSIDS23_2,1,0.12
6,B,8,632,sample,SSIDS23_2,2,0.108
6,B,9,632,sample,SSIDS23_2,3,0.104
6,A,1,665,standard,water,1,0.071
6,A,2,665,standard,water,2,0.071
6,A,3,665,standard,water,3,0.074
6,B,1,665,standard,water,4,0.15
6,B,2,665,standard,water,5,0.075
6,B,3,665,standard,water,6,0.071
6,C,1,665,standard,methanol,1,0.074
6,C,2,665,standard,methanol,2,0.073
6,C,3,665,standard,methanol,3,0.075
6,D,1,665,standard,methanol,4,0.149
6,D,2,665,standard,methanol,5,0.073
6,D,3,665,standard,methanol,6,0.073
6,E,1,665,standard,methanol,7,0.074
6,E,2,665,standard,methanol,8,0.074
6,E,3,665,standard,methanol,9,0.078
6,F,1,665,standard,methanol,10,0.075
6,F,2,665,standard,methanol,11,0.072
6,F,3,665,standard,methanol,12,0.073
6,G,1,665,standard,standard,1,0.324
6,G,2,665,standard,standard,2,0.345
6,G,3,665,standard,standard,3,0.351
6,H,1,665,standard,standard,4,0.346
6,H,2,665,standard,standard,5,0.346
6,H,3,665,standard,standard,6,0.22
6,A,4,665,sample,SSID524_3,1,0.087
6,A,5,665,sample,SSID524_3,2,0.078
6,A,6,665,sample,SSID524_3,3,0.076
6,B,4,665,sample,SSID54_3,1,0.084
6,B,5,665,sample,SSID54_3,2,0.089
6,B,6,665,sample,SSID54_3,3,0.086
6,C,4,665,sample,SSID615_2,1,0.086
6,C,5,665,sample,SSID615_2,2,0.089
6,C,6,665,sample,SSID615_2,3,0.087
6,D,4,665,sample,SSID617_3,1,0.101
6,D,5,665,sample,SSID617_3,2,0.101
6,D,6,665,sample,SSID617_3,3,0.099
6,E,4,665,sample,SSID624_3,1,0.104
6,E,5,665,sample,SSID624_3,2,0.106
6,E,6,665,sample,SSID624_3,3,0.105
6,F,4,665,sample,SSIDF3_3,1,0.08
6,F,5,665,sample,SSIDF3_3,2,0.079
6,F,6,665,sample,SSIDF3_3,3,0.081
6,G,4,665,sample,SSIDF18_2,1,0.079
6,G,5,665,sample,SSIDF18_2,2,0.079
6,G,6,665,sample,SSIDF18_2,3,0.082
6,H,4,665,sample,SSIDF20_2,1,0.094
6,H,5,665,sample,SSIDF20_2,2,0.095
6,H,6,665,sample,SSIDF20_2,3,0.094
6,A,7,665,sample,SSIDS5_2,1,0.103
6,A,8,665,sample,SSIDS5_2,2,0.106
6,A,9,665,sample,SSIDS5_2,3,0.11
6,B,7,665,sample,SSIDS23_2,1,0.114
6,B,8,665,sample,SSIDS23_2,2,0.103
6,B,9,665,sample,SSIDS23_2,3,0.099
